seed,gss_vs_orgPrb,gss_vs_orgPrb_rtol,gss_vs_ana,gss_vs_ana_rtol,gss_vs_ana_rtol2,ana_vs_orgPrb,"diffNorms(GSS,OrgPrb)",sum(GSS.-OrgPrb),sum(GSS.-Ana),rmsq(GSS.-OrgPrb),rmsq(GSS.-Ana),norm(GSS-OrgPrb),norm(GSS-Ana),norm(Ana-OrigProb)
842,false,false,false,false,true,true,-8.194550956375224e-5,0.18063560244422114,0.34270618389598617,8.087877153479269e-5,0.00014410323637310742,0.005176241378226734,0.009222607127878877,4.117870631192562e-9
3341,true,true,true,true,true,true,4.770299710799009e-10,1.0378303050635653e-6,0.00012275110931833644,5.97904408020032e-10,1.269281449234882e-7,3.826588211328199e-8,8.123401275103245e-6,1.4161280322828463e-9
8,true,true,true,true,true,true,5.684341886080801e-13,2.580390331665067e-9,1.8608695107839163e-8,1.0060170007763751e-12,6.154255132558379e-12,6.438508804968801e-11,3.938723284837362e-10,9.732499909725888e-11
2510,true,true,true,true,true,true,2.984279490192421e-13,2.0158228753765217e-10,2.2541660949296216e-8,8.539728817652896e-14,9.776122539117817e-12,5.4654264432978535e-12,6.256718425035403e-10,6.598019707323012e-11
843,false,true,true,true,true,true,-4.998599933969672e-8,8.975543756165566e-5,0.0005081056785202799,5.4602250763195646e-8,2.766071092586544e-7,3.4945440488445214e-6,1.770285499255388e-5,1.6471131411015426e-8
4175,true,true,true,true,true,true,-7.94386778579792e-12,5.607055460340668e-9,5.665177958344425e-8,3.5603345480776697e-12,2.8639403352123444e-11,2.2786141107697086e-10,1.8329218145359004e-9,5.649144384662947e-11
1676,false,false,true,true,true,true,1.464179341326144e-6,0.0009702399981512329,0.007255380062944362,5.14766212144482e-7,6.050199948716127e-6,3.294503757724687e-5,0.0003872127967178324,5.963335779791017e-10
2511,true,true,false,true,true,false,1.5258763141901e-9,2.765467058982613e-6,3.3956860116812426,1.3433916467851044e-9,0.0017772886292792072,8.59770653942467e-8,0.11374647227386928,2.5239122556893376e-6
4176,true,true,true,true,true,true,-5.115907697472721e-13,1.3009816277661373e-9,1.9367465865327387e-8,4.971882059431201e-13,8.013958401145483e-12,3.182004518035969e-11,5.128933376733109e-10,1.1247783463555554e-10
9,true,true,true,true,true,true,-1.1368683772161603e-13,1.0164680794115533e-10,2.8794264697476566e-9,3.926169570834672e-14,1.1471511014324783e-12,2.51274852533419e-12,7.341767049167861e-11,2.3104972567555295e-11
3342,false,false,false,false,true,true,1.2732064931242348e-6,0.0026511013699391144,0.001577825252795739,1.1079741097507041e-6,6.242617200092294e-7,7.091034302404504e-5,3.9952750080590704e-5,2.762951151595061e-11
844,true,true,true,true,true,true,8.526512829121202e-14,6.37386566595087e-11,6.930954195005768e-11,2.531279468190833e-14,5.0268184580437236e-14,1.6200188596421331e-12,3.217163813147983e-12,4.2796701573543786e-12
1677,true,true,true,true,true,true,-1.84456894203322e-11,4.407948906747015e-8,1.2566763052867733e-7,2.5395241879621217e-11,7.999541174078367e-11,1.6252954802957575e-9,5.119706351410155e-9,8.348976694114315e-11
3343,true,true,true,true,true,true,-2.632987161632627e-10,1.4183399467927876e-6,1.1880685443242179e-6,1.1244249474331924e-9,9.911780671802188e-10,7.196319663572425e-8,6.343539629953396e-8,7.596182662874653e-11
